Adams County,583
Allen County,404
Ashland County,424
Ashtabula County,702
Athens County,506
Auglaize County,401
Belmont County,537
Brown County,491
Butler County,467
Carroll County,394
Champaign County,428
Clark County,399
Clermont County,451
Clinton County,410
Columbiana County,532
Coshocton County,564
Crawford County,402
Cuyahoga County,458
Darke County,599
Defiance County,411
Delaware County,442
Erie County,254
Fairfield County,505
Fayette County,406
Franklin County,539
Fulton County,406
Gallia County,468
Geauga County,403
Greene County,414
Guernsey County,521
Hamilton County,407
Hancock County,531
Hardin County,470
Harrison County,403
Henry County,416
Highland County,553
Hocking County,422
Holmes County,422
Huron County,492
Jackson County,420
Jefferson County,409
Knox County,527
Lake County,228
Lawrence County,454
Licking County,686
Logan County,458
Lorain County,492
Lucas County,340
Madison County,465
Mahoning County,415
Marion County,403
Medina County,423
Meigs County,429
Mercer County,463
Miami County,407
Monroe County,455
Montgomery County,461
Morgan County,417
Morrow County,406
Muskingum County,664
Noble County,399
Ottawa County,254
Paulding County,416
Perry County,409
Pickaway County,501
Pike County,441
Portage County,492
Preble County,424
Putnam County,483
Richland County,496
Ross County,688
Sandusky County,409
Scioto County,612
Seneca County,550
Shelby County,409
Stark County,576
Summit County,419
Trumbull County,616
Tuscarawas County,567
Union County,436
Van Wert County,410
Vinton County,414
Warren County,399
Washington County,635
Wayne County,555
Williams County,421
Wood County,617
Wyandot County,405
